iter	Passed	Remaining
0	0	55
1	1	52
2	1	52
3	2	49
4	2	48
5	3	47
6	3	47
7	4	48
8	4	47
9	5	46
10	5	45
11	6	44
12	6	43
13	6	42
14	7	41
15	7	40
16	8	39
17	8	39
18	9	38
19	9	37
20	9	36
21	10	36
22	10	35
23	11	34
24	11	34
25	11	33
26	12	33
27	12	32
28	13	32
29	13	31
30	13	31
31	14	30
32	15	30
33	15	30
34	16	29
35	16	29
36	17	29
37	17	28
38	18	28
39	18	28
40	19	27
41	19	27
42	20	26
43	20	26
44	21	25
45	21	25
46	22	25
47	22	24
48	23	24
49	23	23
50	24	23
51	24	22
52	25	22
53	25	21
54	26	21
55	27	21
56	27	21
57	28	20
58	28	20
59	29	19
60	29	19
61	30	18
62	30	18
63	31	17
64	31	17
65	32	16
66	32	16
67	33	15
68	34	15
69	34	14
70	35	14
71	35	13
72	36	13
73	37	13
74	37	12
75	38	12
76	38	11
77	39	11
78	39	10
79	40	10
80	40	9
81	41	9
82	41	8
83	42	8
84	42	7
85	43	7
86	44	6
87	44	6
88	45	5
89	45	5
90	45	4
91	46	4
92	47	3
93	47	3
94	48	2
95	49	2
96	49	1
97	50	1
98	50	0
99	51	0
